language,glottocode,affiliation,area,latitude,longitude,Alignment.of.Case.Marking.of.Full.Noun.Phrases,Alignment.of.Case.Marking.of.Pronouns,Comitatives.and.Instrumentals,Noun.Phrase.Conjunction,Nominal.and.Verbal.Conjunction,Definite.Articles,Indefinite.Articles,Expression.of.Pronominal.Subjects,Indefinite.Pronouns,Third.Person.Pronouns.and.Demonstratives,Distance.Contrasts.in.Demonstratives,Pronominal.and.Adnominal.Demonstratives,Intensifiers.and.Reflexive.Pronouns,Gender.Distinctions.in.Independent.Personal.Pronouns,Systems.of.Gender.Assignment,Gender.n,Negative.Morphemes,Nominal.Plurality,Ordinal.Numerals,Distributive.Numerals,Order.of.Adjective.and.Noun,Order.of.Adposition.and.Noun.Phrase,Order.of.Degree.Word.and.Adjective,Order.of.Demonstrative.and.Noun,Order.of.Genitive.and.Noun,Order.of.Negative.Morpheme.and.Verb,Order.of.Numeral.and.Noun,Order.of.Object..Oblique..and.Verb,Order.of.Relative.Clause.and.Noun,Passive.Constructions,Reciprocal.Constructions,Optative,The.Prohibitive,The.Morphological.Imperative,Person.Marking.on.Adpositions,Position.of.Interrogative.Phrases.in.Content.Questions,Position.of.Polar.Question.Particles,Possessive.Classification,Position.of.Pronominal.Possessive.Affixes,Locus.of.Marking.in.Possessive.Noun.Phrases,Reduplication,The.Future.Tense,The.Past.Tense,Perfective.Imperfective.Aspect,Verbal.Person.Marking,WordOrderSOV
Old Akkadian,akka1240,East Semitic,Near East,33.1,44.1,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV
Old Assyrian,akka1240,East Semitic,Near East,35.88,40.95,Nominative - accusative (standard),Nominative - accusative (standard),Identity,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,Optional pronouns in subject position,Interrogative-based,Unrelated,No distance contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",Marked by mixed or other strategies,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,Present,Mixed,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Only the A argument,SOV
Middle Assyrian,akka1240,East Semitic,Near East,36.21,41.15,Nominative - accusative (standard),Nominative - accusative (standard),Identity,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,Optional pronouns in subject position,Interrogative-based,Unrelated,No distance contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",Marked by mixed or other strategies,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,Present,Mixed,Inflectional optative present,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Only the A argument,SOV
Neo-Assyrian,akka1240,East Semitic,Near East,36.31,41.05,Nominative - accusative (standard),Nominative - accusative (standard),NA,NA,Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,Optional pronouns in subject position,Special,Unrelated,Two-way contrast,Identical,NA,In 3rd person + 1st and/or 2nd person,NA,NA,Negative particle,Plural suffix,"First/one-th, two-th, three-th",Marked by suffix,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,NA,NA,Inflectional optative present,Special imperative + normal negative,Second singular and second plural,Pronouns only,Mixed,NA,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,NA,NA,Only the A argument,SOV
Old Babylonian,akka1240,East Semitic,Near East,32.61,44.61,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV
Middle Babylonian,akka1240,East Semitic,Near East,32.75,44.51,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV
Neo-Babylonian,akka1240,East Semitic,Near East,32.5,44.87,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV
Eblaite,ebla1238,East Semitic,Near East,35.8,36.8,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,Optional pronouns in subject position,Interrogative-based,Related to remote demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First/one-th, two-th, three-th",NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,OXV,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,No possessive classification,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,SOV
Dumaitic North Arabian,duma1255,Central Semitic,Near East,29.8,39.89,NA,NA,Differentiation,And' different from 'with',Identity,Definite affix,"No indefinite, but definite article",Subject affixes on verb,NA,NA,NA,NA,NA,NA,Semantic and formal,Two,Negative particle,Plural suffix,NA,NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,NA,Noun-Relative clause,NA,NA,NA,NA,Second singular and second plural,Pronouns only,NA,NA,NA,Possessive suffixes,NA,NA,NA,NA,Grammatical marking,"A obligatory, P optional",SVO
Hasaitic North Arabian,hasa1249,Central Semitic,Near East,25.79,49.27,NA,NA,Differentiation,And' different from 'with',Identity,Neither definite nor indefinite article,Neither definite nor indefinite article,Subject affixes on verb,NA,NA,NA,NA,NA,NA,Semantic and formal,Two,Negative particle,Plural suffix,NA,NA,Noun-Adjective,Prepositions,NA,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,No dominant order,Noun-Relative clause,NA,NA,NA,NA,Second singular and second plural,Pronouns only,NA,NA,NA,Possessive suffixes,NA,NA,NA,NA,Grammatical marking,"A obligatory, P optional",NA
